Time Detect LP,Time Detect Face,Total
0.113,2.473,2.586
0.11,2.484,2.594
0.111,2.513,2.624
0.113,2.466,2.579
0.11,2.481,2.591
0.119,2.5,2.618
0.11,2.487,2.597
0.119,2.494,2.613
0.109,2.495,2.604
0.113,2.507,2.62
0.237,2.505,2.742
0.121,2.528,2.65
0.112,2.49,2.602
0.111,2.473,2.583
0.112,2.474,2.586
0.112,2.465,2.578
0.11,2.495,2.605
0.112,2.514,2.626
0.236,2.477,2.713
0.109,2.482,2.591
0.116,2.487,2.603
0.111,2.466,2.576
0.111,2.491,2.602
0.226,2.478,2.704
0.111,2.473,2.584
0.118,2.497,2.616
0.11,2.476,2.586
0.225,2.447,2.671
0.112,2.523,2.635
0.118,2.472,2.59
0.119,2.458,2.577
0.115,2.475,2.59
0.119,2.696,2.815
0.126,2.675,2.801
0.119,2.699,2.818
0.116,2.559,2.675
0.109,2.426,2.535
0.108,2.447,2.556
0.114,2.466,2.58
0.11,2.464,2.575
0.115,2.47,2.585
0.088,2.819,2.907
0.087,2.799,2.886
0.091,3.049,3.14
0.1,2.816,2.916
0.087,2.77,2.856
0.09,2.984,3.074
0.096,2.889,2.985
0.095,3.041,3.136
0.088,2.793,2.881
0.097,2.85,2.947
0.088,3.199,3.287
0.091,2.86,2.951
0.094,3.072,3.166
0.098,2.817,2.916
0.09,2.84,2.931
0.09,2.829,2.919
0.097,3.076,3.174
0.091,3.096,3.187
0.092,2.834,2.926
0.097,2.84,2.938
0.097,2.857,2.954
0.097,2.853,2.949
0.099,2.848,2.947
0.091,2.815,2.906
0.092,2.828,2.92
0.099,2.869,2.967
0.101,2.898,2.998
0.093,2.829,2.922
0.091,2.801,2.892
0.092,2.821,2.913
0.096,2.824,2.92
0.091,2.791,2.882
0.092,3.065,3.157
0.095,3.063,3.159
0.095,3.133,3.228
0.098,3.113,3.211
0.1,2.909,3.01
0.093,2.843,2.936
0.1,2.942,3.043
0.095,3.122,3.217
0.092,2.824,2.917
0.099,3.071,3.17
0.093,2.791,2.885
0.1,2.815,2.914
0.094,2.81,2.904
0.092,2.854,2.946
0.094,2.815,2.908
0.101,3.03,3.131
0.094,3.016,3.11
0.097,2.845,2.942
0.097,2.875,2.972
0.094,2.862,2.955
0.099,2.852,2.951
0.095,3.038,3.133
0.098,3.019,3.116
0.096,2.835,2.93
0.093,3.038,3.131
0.1,3.152,3.253
0.094,2.93,3.025
0.095,3.351,3.446
0.096,3.077,3.173
0.095,2.855,2.95
0.095,2.865,2.96
0.096,2.855,2.951
0.096,3.015,3.111
0.102,2.828,2.93
0.094,2.845,2.94
0.098,2.84,2.938
0.097,2.769,2.866
0.098,3.267,3.365
0.096,2.862,2.958
0.096,2.869,2.965
0.095,2.872,2.967
0.096,2.868,2.964
0.103,2.898,3.001
0.096,2.899,2.995
0.099,2.909,3.008
0.104,3.258,3.362
0.095,2.83,2.925
0.096,2.828,2.925
0.096,2.846,2.942
0.096,2.842,2.939
0.098,2.887,2.984
0.096,2.822,2.918
0.098,2.81,2.908
0.103,2.83,2.933
0.098,2.852,2.95
0.1,3.072,3.172
0.097,2.82,2.918
0.098,2.804,2.901
0.099,3.046,3.145
0.104,3.042,3.145
0.099,3.074,3.173
0.097,2.873,2.97
0.097,2.858,2.955
0.098,2.883,2.981
0.106,2.907,3.013
0.096,2.83,2.926
0.099,3.032,3.131
0.101,2.827,2.928
0.098,2.873,2.971
0.106,3.063,3.169
0.102,3.032,3.134
0.101,2.819,2.919
0.098,2.817,2.914
0.098,2.854,2.952
0.099,3.02,3.119
0.1,2.847,2.948
0.102,3.037,3.139
0.103,2.848,2.95
0.098,3.084,3.182
0.099,2.883,2.982
0.102,2.847,2.949
0.099,2.836,2.935
0.1,2.805,2.905
0.099,3.087,3.186
0.1,2.903,3.002
0.098,2.809,2.907
0.098,2.825,2.923
0.098,2.922,3.02
0.1,2.78,2.879
0.1,2.811,2.911
0.099,2.81,2.91
0.099,2.835,2.935
0.101,2.85,2.95
0.099,2.858,2.957
0.099,2.844,2.944
0.106,2.841,2.946
0.1,2.82,2.92
0.1,3.013,3.113
0.098,2.813,2.911
0.102,3.093,3.195
0.107,2.839,2.947
0.1,2.81,2.911
0.107,2.828,2.935
0.101,2.816,2.917
0.107,2.87,2.977
0.1,2.863,2.963
0.106,2.865,2.971
0.101,2.89,2.991
0.099,3.061,3.161
0.106,2.875,2.98
0.11,2.83,2.94
0.102,3.25,3.353
0.101,2.868,2.968
0.102,3.052,3.155
0.101,2.807,2.909
0.1,3.021,3.121
0.102,2.817,2.919
0.102,3.07,3.172
